measure,group
34.56,A
2.02,A
1.95,A
3.55,A
12.53,A
18.45,A
20.21,A
16.49,A
2.77,A
3.36,A
37.9,A
1.05,A
21.72,A
13.76,A
8.11,A
6.89,A
30.51,A
8.74,A
3.59,A
9.84,A
24.33,A
6.1,A
14.69,A
6.28,A
5.78,A
17.71,A
6.64,A
33.46,A
6.98,A
5.86,A
11.22,B
6.22,B
6.89,B
54.78,B
16.58,B
34.9,B
3.88,B
6.29,B
2.13,B
1.6,B
1.23,B
0.58,B
4.36,B
4.39,B
5.25,B
2.6,B
1.02,B
4.39,B
1.87,B
2.37,B
5.54,B
2.97,B
6.09,B
20.57,B
7.01,B
13.32,B
5.95,B
0.48,B
1.02,B
0.85,B
5.27,C
118.49,C
82.95,C
42.01,C
48.72,C
38.24,C
54.14,C
5.54,C
21.49,C
12.76,C
8.33,C
21.58,C
44.27,C
74.23,C
38.26,C
3.79,C
41.39,C
14.35,C
9.22,C
4.87,C
33.35,C
19.22,C
21.06,C
8.99,C
176.27,C
22.32,C
6.1,C
21.54,C
38.06,C
90.41,C
