# PowerFun.txt
#
# Randomly generated data that follow a power function.
#   Used to demonstrate theoretical transformations.
#
x	y
19.52561862	12.35625555
25.35429749	8.612842491
71.93178569	11.19847114
9.373351934	5.209446102
2.945085716	3.760250156
20.92804652	9.928329264
46.05804318	14.52184398
15.12931867	6.391995108
12.13238019	5.510209535
44.55565987	11.95692223
9.137458225	5.265868027
66.41783587	15.48543148
141.7298967	20.1074633
69.10933266	18.73298251
8.720609577	6.125920699
21.00607567	7.88668818
13.69224908	6.989308944
27.16358786	11.91993351
73.93474453	21.72811135
23.52684106	11.03678295
10.7451425	7.258212834
16.26960225	7.041461295
25.60073455	7.398963592
84.50466904	22.44136006
14.9211894	6.165356248
32.14473488	11.00911492
120.9921012	14.08643711
141.034363	21.72616115
37.14076671	13.65734901
93.71981895	23.59612596
22.20593732	8.303786034
19.50070531	12.34276493
