# ExponentialFun.txt
#
# Randomly generated data that follow an exponential function.
#   Used to demonstrate theoretical transformations.
#
x	y
3.310945598	9.033631368
5.033697775	29.0777286
2.39521885	5.624577167
3.503133961	9.7623828
3.588448667	12.87866072
2.530351495	8.500062472
2.66825831	7.841162377
4.05757674	12.60487775
3.719448459	14.7785073
2.139725293	6.997388439
3.267423824	11.98775458
4.671253268	25.44037892
3.554924734	14.02460608
2.843146435	9.405532261
4.399605839	19.83933173
4.446492345	19.92258851
4.097049382	14.41285962
4.710263022	18.38119105
3.208431784	13.04435141
4.844253151	19.57410114
5.232236638	26.09000847
5.328074851	38.31528824
3.266912183	8.957596386
2.183712546	6.394048102
3.485366268	15.77799831
3.578224103	15.54197574
2.545652078	6.815371815
4.892827379	26.48013409
2.866822646	10.79588721
2.487002096	9.683722292
2.754811338	7.751676508
2.985145164	8.129343917
