# ANCOVA1.txt
# Hypothetical data used to illustrate concept in ANCOVA
#
wt.init	wt.gain	group	wt.somat	wt.gonad	loc
95	20	10C	950	22.5	A
100	20.1	10C	1000	22	A
105	24.5	10C	1050	27	A
110	23	10C	1100	26.5	A
115	29	10C	1150	31.5	A
120	27.5	10C	1200	28.5	A
125	32.5	10C	1250	34	A
130	32.5	10C	1300	34	A
135	36	10C	1350	38	A
95	22	8C	1400	40	B
100	22	8C	1450	40	B
105	26	8C	1500	44	B
110	25	8C	1550	43	B
115	31	8C	1600	48.5	B
120	29	8C	1650	47	B
125	34	8C	1700	51.5	B
130	34	8C	1750	51.5	B
135	38	8C	1800	56	B
