# Polynomial.txt
#
# Data for demonstrating a polynomial regression.
#
x	y
0.346343593	22.39778306
3.602916589	15.64195112
4.928280755	15.8826594
5.957661691	22.43707787
8.227203177	82.07712794
6.513180258	35.52111986
5.329230762	8.258203148
5.301728742	16.21770808
3.385700937	16.12161234
2.250627762	25.35313841
4.236239537	12.52831779
6.321796797	29.92794891
4.124447618	20.43540276
5.056474376	14.6752383
8.03733415	71.98737529
4.642425908	18.67250007
5.192597395	22.21316452
4.387084017	9.983266494
4.774751959	12.20613513
5.735349164	19.33956666
4.719313094	11.50125112
4.722303162	17.14245414
5.857479969	14.33795114
4.515442365	15.9156211
1.096211253	20.95203177
2.135589318	17.86677078
6.155259713	21.38747347
-0.451441178	18.10867534
5.528966139	18.20594793
4.806690107	18.02217177
2.835065087	18.32080113
3.754145736	12.89349324
